"Date","Bid","Ask","First","High","Low","Last","Change","Capital Adjusted","Volume Traded","$ Value Traded","Trades"
"12 Aug 2019","28.000","28.450","28.340","28.450","28.280","28.350","0.000","+28.350","20167","572602.37","77"
"09 Aug 2019","28.000","28.370","28.300","28.400","28.200","28.350","+0.250","+28.350","16858","476923.79","83"
"08 Aug 2019","28.000","28.150","28.210","28.210","27.900","28.100","-0.200","+28.100","8134","228369.87","54"
"07 Aug 2019","28.210","28.300","27.880","28.300","27.500","28.300","+0.500","+28.300","13600","378507.72","83"
"06 Aug 2019","27.500","27.900","28.200","28.200","27.270","27.800","-0.520","+27.800","33148","922652.95","127"
"05 Aug 2019","28.300","28.320","28.850","28.910","28.320","28.320","-0.490","+28.320","22092","630170.71","139"
"02 Aug 2019","28.750","29.370","29.380","29.380","28.560","28.810","-0.590","+28.810","21089","606935.98","92"
"01 Aug 2019","29.390","29.400","29.170","29.400","29.000","29.400","+0.230","+29.400","7415","217032.38","73"
"31 Jul 2019","29.000","29.170","29.100","29.250","29.000","29.170","+0.010","+29.170","11008","320300.73","54"
"30 Jul 2019","28.740","29.200","29.150","29.160","28.960","29.160","+0.060","+29.160","6617","192143.91","56"
"29 Jul 2019","28.960","29.290","29.050","29.100","28.900","29.100","+0.150","+29.100","5585","161934.91","56"
"26 Jul 2019","28.950","29.080","29.000","29.100","28.910","28.950","0.000","+28.950","11860","343914.91","33"
"25 Jul 2019","28.800","29.000","28.740","29.000","28.740","28.950","+0.220","+28.950","7731","223913.68","51"
"24 Jul 2019","28.730","28.960","28.700","29.000","28.700","28.730","+0.100","+28.730","23334","672508.79","63"
"23 Jul 2019","28.610","28.700","28.320","28.640","28.320","28.630","+0.310","+28.630","3340","95471.02","29"
"22 Jul 2019","28.250","28.320","28.600","28.600","28.250","28.320","-0.320","+28.320","7492","212997.89","56"
"19 Jul 2019","28.500","28.780","28.100","28.640","28.100","28.640","+0.440","+28.640","7559","215106.44","49"
"18 Jul 2019","28.100","28.200","28.300","28.300","28.050","28.200","-0.270","+28.200","31598","892063.26","78"
"17 Jul 2019","28.150","28.900","28.200","28.480","28.190","28.470","+0.250","+28.470","7903","223711.57","48"
"16 Jul 2019","28.200","28.980","28.570","28.570","28.200","28.220","-0.060","+28.220","6662","188386.98","53"
"15 Jul 2019","28.200","28.700","28.700","28.700","28.180","28.280","-0.320","+28.280","20372","577444.99","120"
"12 Jul 2019","28.600","28.990","28.500","28.700","28.480","28.600","0.000","+28.600","17184","490988.31","72"
"11 Jul 2019","28.480","28.890","28.900","28.900","28.500","28.600","-0.420","+28.600","9406","268996.30","53"
"10 Jul 2019","28.900","29.400","28.900","29.250","28.900","29.020","+0.100","+29.020","6135","178086.39","26"
"09 Jul 2019","28.900","29.500","29.290","29.400","28.920","28.920","-0.380","+28.920","9960","290261.24","49"
"08 Jul 2019","29.100","29.750","29.600","29.600","29.270","29.300","-0.300","+29.300","4137","121309.44","24"
"05 Jul 2019","29.020","29.750","29.550","29.660","29.550","29.600","+0.040","+29.600","12951","383199.03","40"
"04 Jul 2019","29.000","29.610","29.150","29.600","29.150","29.560","+0.410","+29.560","9223","270837.10","32"
"03 Jul 2019","29.150","29.500","29.120","29.210","28.900","29.150","-0.110","+29.150","4616","133872.36","34"
"02 Jul 2019","29.120","29.260","29.550","29.550","29.250","29.260","-0.290","+29.260","14878","436317.18","89"
"01 Jul 2019","29.550","29.850","29.550","29.600","29.400","29.550","-0.450","+29.550","9625","284349.45","43"
"28 Jun 2019","29.500","30.000","29.800","30.000","29.700","30.000","+0.580","+30.000","4319","128708.92","31"
"27 Jun 2019","29.400","29.900","29.530","29.540","29.410","29.420","-0.120","+29.420","11964","352543.12","35"
"26 Jun 2019","29.180","30.000","29.800","29.820","29.500","29.540","-0.260","+29.540","5622","166827.12","22"
"25 Jun 2019","29.690","30.300","30.000","30.010","29.800","29.800","-0.190","+29.800","13911","415921.14","45"
"24 Jun 2019","29.800","30.300","29.800","30.100","29.800","29.990","-0.150","+29.990","14803","444635.22","39"
"21 Jun 2019","29.800","30.250","30.350","30.350","29.850","30.140","-0.110","+30.140","8683","260760.22","16"
"20 Jun 2019","29.850","30.350","30.000","30.350","30.000","30.250","+0.150","+30.250","2447","73950.46","12"
"19 Jun 2019","29.850","30.200","29.700","30.150","29.700","30.100","+0.550","+30.100","16407","492300.59","58"
"18 Jun 2019","29.550","29.690","29.860","29.990","29.550","29.550","-0.510","+29.550","10147","301080.82","30"
"17 Jun 2019","28.020","30.100","29.850","30.060","29.690","30.060","+0.260","+30.060","6233","186202.89","39"
"14 Jun 2019","29.750","30.000","29.950","29.950","29.700","29.800","-0.150","+29.800","10857","323252.80","59"
"13 Jun 2019","29.800","29.950","30.070","30.070","29.780","29.950","-0.200","+29.950","3801","113559.00","13"
"12 Jun 2019","29.610","30.150","30.290","30.380","29.910","30.150","-0.060","+30.150","10524","317416.56","28"
"11 Jun 2019","29.820","30.290","29.800","30.250","29.800","30.210","+0.410","+30.210","33631","1010731.01","150"
"10 Jun 2019","29.600","29.800","29.600","29.800","29.600","29.800","-0.020","+29.800","2580","76476.40","6"
"07 Jun 2019","29.200","29.820","29.670","29.820","29.650","29.820","+0.120","+29.820","6099","181077.74","29"
"06 Jun 2019","29.200","29.700","29.490","29.800","29.490","29.700","+0.060","+29.700","5460","161484.74","21"
"05 Jun 2019","29.200","29.750","29.500","29.720","29.500","29.640","+0.480","+29.640","11601","343657.34","41"
"04 Jun 2019","29.000","29.210","29.450","29.450","29.160","29.160","-0.290","+29.160","5118","149528.01","22"
"31 May 2019","29.250","29.600","29.720","29.740","29.340","29.450","-0.340","+29.450","7144","211512.11","29"
"30 May 2019","29.550","29.750","29.600","29.800","29.600","29.790","+0.210","+29.790","3513","104397.87","16"
"29 May 2019","29.500","29.700","29.500","29.580","29.500","29.580","-0.220","+29.580","20235","594611.99","22"
"28 May 2019","29.200","29.800","29.530","29.800","29.400","29.800","+0.270","+29.800","17856","528103.90","40"
"27 May 2019","29.200","30.000","29.340","29.530","29.330","29.530","+0.190","+29.530","12503","368135.77","37"
"24 May 2019","29.340","29.500","29.500","29.500","29.200","29.340","-0.360","+29.340","7832","229883.61","30"
"23 May 2019","29.500","30.000","30.000","30.000","29.600","29.700","-0.300","+29.700","8779","261876.80","33"
"22 May 2019","30.000","30.050","29.750","30.050","29.750","30.000","+0.300","+30.000","32344","965796.85","69"
"21 May 2019","29.700","29.950","29.350","30.750","29.350","29.700","+0.350","+29.700","52811","1575387.51","136"
"20 May 2019","29.310","29.450","27.410","29.380","27.410","29.350","+2.100","+29.350","46647","1355701.97","215"
"17 May 2019","27.250","27.300","28.240","28.290","27.250","27.250","-0.880","+27.250","19282","533919.90","102"
"16 May 2019","28.000","28.200","27.890","28.130","27.700","28.130","+0.280","+28.130","6367","177469.54","36"
"15 May 2019","27.850","28.200","27.650","27.850","27.590","27.850","+0.250","+27.850","5075","140435.61","23"
"14 May 2019","27.500","28.200","28.050","28.050","27.330","27.600","-0.430","+27.600","10817","299643.22","40"
"13 May 2019","27.700","28.200","28.290","28.300","28.000","28.030","-0.212","+28.030","6635","186958.20","38"
"10 May 2019","28.900","29.330","29.330","29.350","28.980","29.090","-0.250","+29.090","10326","301971.36","67"
"09 May 2019","29.000","29.350","29.390","29.440","29.250","29.340","-0.050","+29.340","10770","316274.60","54"
"08 May 2019","29.290","29.390","29.010","29.450","29.000","29.390","+0.070","+29.390","7871","231110.31","42"
"07 May 2019","28.800","29.400","29.200","29.500","29.200","29.320","+0.120","+29.320","10037","294418.40","47"
"06 May 2019","28.660","29.290","29.000","29.200","28.700","29.200","+0.140","+29.200","20095","580473.13","63"
"03 May 2019","28.930","29.070","28.710","29.060","28.710","29.060","+0.350","+29.060","15920","461892.95","13"
"02 May 2019","28.660","29.400","29.610","29.610","28.710","28.710","-0.970","+28.710","29829","861523.29","133"
"01 May 2019","29.610","29.660","29.230","29.750","29.230","29.680","+0.940","+29.680","28742","850979.44","49"
"30 Apr 2019","28.790","29.250","28.890","28.900","28.740","28.740","-0.060","+28.740","5448","157224.27","9"
"29 Apr 2019","28.660","29.000","28.920","28.920","28.730","28.800","-0.120","+28.800","1929","55583.06","21"
"26 Apr 2019","28.610","29.030","28.920","28.960","28.800","28.920","-0.110","+28.920","12430","359616.93","36"
"24 Apr 2019","29.030","29.110","28.900","29.200","28.890","29.030","+0.180","+29.030","17710","514986.11","67"
"23 Apr 2019","28.800","29.000","28.610","28.900","28.600","28.850","+0.260","+28.850","9832","282692.48","30"
"18 Apr 2019","28.000","29.000","28.580","28.720","28.510","28.590","+0.040","+28.590","7984","228633.82","47"
"17 Apr 2019","27.900","29.000","28.000","28.560","27.950","28.550","+0.680","+28.550","18503","523077.96","65"
"16 Apr 2019","27.500","28.000","27.790","27.890","27.740","27.870","+0.110","+27.870","19222","534755.60","80"
"15 Apr 2019","27.500","27.800","27.500","27.850","27.500","27.760","+0.370","+27.760","11098","308674.89","52"
"12 Apr 2019","27.010","27.500","27.210","27.830","27.200","27.390","+0.420","+27.390","11945","329504.63","63"
"11 Apr 2019","27.000","27.710","27.260","27.280","26.850","26.970","-0.280","+26.970","15907","429584.43","78"
"10 Apr 2019","27.120","27.330","27.100","27.250","26.980","27.250","+0.130","+27.250","12798","347098.14","57"
"09 Apr 2019","27.100","27.820","27.820","27.820","27.000","27.120","-0.080","+27.120","8706","236082.79","37"
"08 Apr 2019","27.120","27.820","27.440","27.440","27.150","27.200","-0.240","+27.200","19282","525190.60","79"
"05 Apr 2019","27.400","27.830","27.350","27.440","27.350","27.440","-0.050","+27.440","1029","28198.76","6"
"04 Apr 2019","27.250","27.830","27.750","27.750","27.450","27.490","-0.230","+27.490","17651","486661.03","40"
"03 Apr 2019","27.600","27.750","27.840","27.850","27.600","27.720","-0.080","+27.720","7796","216477.81","30"
"02 Apr 2019","27.800","27.850","27.400","27.930","27.400","27.800","+0.500","+27.800","15522","428334.22","51"
"01 Apr 2019","27.300","27.400","27.250","27.400","27.250","27.300","-0.020","+27.300","15772","431637.35","56"
"29 Mar 2019","27.000","27.770","27.280","27.380","27.100","27.320","+0.270","+27.320","13504","367715.12","83"
"28 Mar 2019","26.820","27.280","27.010","27.070","26.770","27.050","+0.130","+27.050","9034","243811.98","21"
"27 Mar 2019","26.850","27.280","26.890","27.000","26.500","26.920","+0.310","+26.920","10581","283319.90","56"
"26 Mar 2019","26.500","27.000","26.700","26.700","26.500","26.610","+0.100","+26.610","10936","290985.60","38"
"25 Mar 2019","26.500","26.700","27.210","27.210","26.510","26.510","-0.820","+26.510","33589","898032.06","79"
"22 Mar 2019","27.280","27.420","27.400","27.440","27.300","27.330","+0.120","+27.330","5879","160960.21","20"
